classification,corner_near_white,edge_near_white,edge_strict_white,edge_transparent,file_path,has_alpha,height,image_id,is_main,overall_near_white,product_id,sort_order,width
clean_white,1.0,1.0,1.0,0.0,p_6a1e395e35d71.jpg,False,540,1967,0,0.75032,1193,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e395f8d0ac.jpg,False,540,1968,1,0.79576,1194,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e395f8dc7e.jpg,False,540,1969,0,0.63782,1194,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e395f8e496.jpg,False,540,1970,0,0.75032,1194,6,540
clean_white,1.0,0.9946,0.99309,0.0,p_6a1e3961747ff.jpg,False,540,1971,1,0.67897,1195,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396174fda.jpg,False,540,1972,0,0.88231,1195,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39617567e.jpg,False,540,1973,0,0.7387,1195,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e3962225a9.jpg,False,540,1974,1,0.79576,1196,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396222c1b.jpg,False,540,1975,0,0.63782,1196,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396223222.jpg,False,540,1976,0,0.75032,1196,6,540
clean_white,1.0,0.99195,0.99154,0.0,p_6a1e3964aacf7.jpg,False,540,1977,1,0.59337,1197,0,540
review_white,1.0,0.92316,0.91574,0.0,p_6a1e3964aa700.jpg,False,540,1978,0,0.75734,1197,1,540
clean_white,1.0,0.95335,0.93713,0.0,p_6a1e3964ab2e4.jpg,False,540,1979,0,0.72139,1197,2,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396556155.jpg,False,540,1980,1,0.79576,1198,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396556797.jpg,False,540,1981,0,0.63782,1198,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396556e49.jpg,False,540,1982,0,0.75032,1198,6,540
clean_white,1.0,1.0,0.95449,0.0,p_6a1e39673f266.jpg,False,540,1983,1,0.59226,1199,1,540
clean_white,1.0,0.99004,0.98963,0.0,p_6a1e39673f8cc.jpg,False,540,1984,0,0.51203,1199,3,540
review_white,1.0,0.92805,0.92592,0.0,p_6a1e39673feae.jpg,False,540,1985,0,0.64225,1199,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e3967e3a34.jpg,False,540,1986,1,0.79576,1200,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e3967e411f.jpg,False,540,1987,0,0.63782,1200,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3967e48fd.jpg,False,540,1988,0,0.75032,1200,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39690da9d.jpg,False,540,1989,1,0.79576,1201,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e39690e0ff.jpg,False,540,1990,0,0.63782,1201,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39690e71b.jpg,False,540,1991,0,0.75032,1201,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396a0d7f8.jpg,False,540,1992,1,0.79576,1202,1,540
